Response ID,Timestamp (mm/dd/yyyy),"Take a few moments to remember the situation that you thought of and re-experience the emotions you felt at that time as strongly as possible.In as much detail as possible, describe the events of the experience as you would explain them out loud to a friend, paying special attention to your thoughts and feelings during the event.","Which emotions were most present for you during this experience? (select all that apply) - Anger (e.g., Rage, Mad, or Irritated)","Which emotions were most present for you during this experience? (select all that apply) - Disgust (e.g., Nausea, Sickened, or Revulsion)","Which emotions were most present for you during this experience? (select all that apply) - Fear (e.g., Terror, Scared, or Panic)","Which emotions were most present for you during this experience? (select all that apply) - Anxiety (e.g., Dread, Nervous, or Worry)","Which emotions were most present for you during this experience? (select all that apply) - Sadness (e.g., Grief, Lonely, or Empty)","Which emotions were most present for you during this experience? (select all that apply) - Desire (e.g., Wanting, Craving, or Longing)","Which emotions were most present for you during this experience? (select all that apply) - Relaxation (e.g., Easygoing, Chilled out, or Calm)","Which emotions were most present for you during this experience? (select all that apply) - Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745589,8/24/2022 14:13,There was a man getting into a taxi then a man putting slippers and head phones on and then girls play an instrument,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82745587,8/24/2022 14:13,Felt overwhelmed and wanted to find a way to relax,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745583,8/24/2022 14:13,Receiving s random message from a girl I liked. Feeling of elation and happiness. Excited,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745582,8/24/2022 14:13,Felt like I had lost my self esteem personal experience,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82745578,8/24/2022 14:13,Yoga is the best as it really helps me to unwind after a long day,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82745577,8/24/2022 14:13,Homeless man got on the bus I was on and sat right next to me and he smelled so bad I wanted to gag,,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82745574,8/24/2022 14:12,Was the weirdest feeling in the world I felt overwhelmed and went down at the same time going always a good,"Anger (e.g., Rage, Mad, or Irritated)",,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82745565,8/24/2022 14:12,The worst was my first endoscopy they didnt give enough sedation so i woke up early. The bar was still in my throat but they were finishing the stretch so they were able to calm me down to realize they had to finish. It was horrible.,"Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82745562,8/24/2022 14:12,"No, this is pretty intrusive. My experience was horrendous","Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82745560,8/24/2022 14:12,Seeing my friend give birth what ment to be a special moment no I felt weird I was sick and then I passed out,,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,,,,,
82745552,8/24/2022 14:12,I don’t know how I felt I was confused and unsure what I was looking at and why it was picked for this survet,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82745551,8/24/2022 14:12,"I felt used, taken advantage of, humiliated and ANGRY! I also thought noone would ever believe me if I told them what happened","Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82745550,8/24/2022 14:12,I was thinking of graduation time. My spirits were uplifted and I felt lighter and much more carefree.,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745545,8/24/2022 14:12,To be completely honest I dont know how to respond to this question being asked,,,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82745536,8/24/2022 14:12,Nothing at all really is going to be different from what you have been doing with this,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82745531,8/24/2022 14:12,Notnsure it has to be yesnit has to be done with greater passion for us all,,,,,,"Desire (e.g., Wanting, Craving, or Longing)",,
82745530,8/24/2022 14:12,"The birth of my 4th child in hospital I was very tired and scared when they said he had turned blue,rushed him away and was given no explanation or what was happening.",,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82745527,8/24/2022 14:12,"Good thats for every man . It very effective .friend, paying special attention to your thoughts and feelings during the event..",,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82745526,8/24/2022 14:12,i felt angry because my life is annoying especially when i didn't fo anything,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82745525,8/24/2022 14:12,My partner broke up with me and lied to me and it has me in the darkest place ever,"Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)","Desire (e.g., Wanting, Craving, or Longing)",,
82745522,8/24/2022 14:12,One of my favorite was when my first kid born. Then i lived the same emotion when my second kid come,,,,,,"Desire (e.g., Wanting, Craving, or Longing)","Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745521,8/24/2022 14:12,Extremely scared I thought I was going to die and there was no one there to help me,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82745515,8/24/2022 14:12,was having some back pain went to a thera post and she gave me exercises and advice that have heeded the pain thank goodness,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745514,8/24/2022 14:12,"playing the flute thingy , she was get good at it too",,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82745512,8/24/2022 14:12,I have not experienced any issues like this that has made me feel repulsed,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82745506,8/24/2022 14:12,I thought it was an. Emotional video and I thought it was very entertaining,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82745505,8/24/2022 14:12,"Before I go into this I would like to say that if you guys are going to ask questions like this and make someone relive a potentially traumatic situation you can at least give a trigger warning. Because the situation that I'm going to describe is very traumatic but I can talk about it without very much harm done so I went to the emergency room very late one night after getting into a fight with my then boyfriend over absolutely nothing and he had beaten the complete and total crap out of me and I was bloody and Bruised from head to toe, But I remember thinking that I couldn't tell them what actually happens to me because if I did then it would just be worse on me whenever I went home, so me being young and naive at the time told them that I had tripped and fallen down the steps outside of my apartment which were concrete so as to explain the blood along with a bruising but they definitely did not believe me and they end up getting the police involved and had to file charges and report everything to everybody in it who's just not a good experience and I didn't have very good doctors they were kind of rude and stand on pushing judgmental and I go back there again it made me feel about 2 in tall and absolutely terrible the entire time","Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82745500,8/24/2022 14:12,Possible heart attack and very frightened of leaving my children,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82745499,8/24/2022 14:12,I didnt recieve it to be honest can insee itbagain,"Anger (e.g., Rage, Mad, or Irritated)",,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82745496,8/24/2022 14:12,Saw a young girl get hit by a car and the driver drove off. I experienced horror watching her fly up into the air and landing on a curb. I was terrified she might be dead. I stayed with her until the police and ambulance came to assist.,"Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82745495,8/24/2022 14:12,I went to the doctor and found out that I was pregnant with my first child. I was overwhelmed with joy and yelled loudly in excitement. I was so happy to be pregnant,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745494,8/24/2022 14:12,Getting to meet my grandkids and how I was so emotional I broke down in tears uncontrolably. An experience I hope I take with beyond my death.,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745493,8/24/2022 14:12,Absence no emotions! Plus more letters to give you 50 characters.,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745492,8/24/2022 14:12,It was with my fella we had a lovely day out and enjoyed loads of nice things together,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82745490,8/24/2022 14:12,I felt very overwhelmed and embarrassed when I vomited in public at Walmart the other day. I felt like others were staring at me when I had an episode of hypoglycemia.,,"Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82745488,8/24/2022 14:12,Again I don’t have a clue what this is about and what relevance this has to anything unfortunately,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82745487,8/24/2022 14:12,"My Grandad had a stroke & it was heartbreaking not knowing wether he would pull through.He died on his 3rd.I felt hopeless,intense sadness,worried,scared & also scared for my mum who loved him so much,he was her Dad.",,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82745483,8/24/2022 14:12,it’s important to pay attention to people thought because it can very serious.,"Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82745479,8/24/2022 14:12,Sadness I’d say I would feel upset or partly sad or hurt,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82745478,8/24/2022 14:12,I feel extremely hurt and betrayed that someone would want to hurt me,"Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)",,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82745477,8/24/2022 14:12,I would say it was good to spend time with friends and family,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745473,8/24/2022 14:12,I was during a babysitting gig when the kid wa sick and threw up. It almost gagged me to clean it up,,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,,,,,
82745468,8/24/2022 14:12,When son was born i was crying but i was beyond happy so tears of happiness,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745467,8/24/2022 14:12,A friend hurt me and it felt terrible I never wanna feel that again,"Anger (e.g., Rage, Mad, or Irritated)",,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82745464,8/24/2022 14:12,I remember discovering my friend had suddenly passed away at the young age of 24. I felt sick to my stomach.. I went into shock and couldn’t stop shaking and utter disbelief,,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)","Desire (e.g., Wanting, Craving, or Longing)",,
82745457,8/24/2022 14:12,I think it's really good to do that to care one person to another,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745455,8/24/2022 14:12,I was totally bored had no interest in it at all couldn't wait for it to be over,,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,,,,,
82745454,8/24/2022 14:12,I felt scared when I got COVID and I had high blood pressure and I had read that I was at high risk of ending up in the hospital. I started to look out for my health more,,,"Fear (e.g., Terror, Scared, or Panic)",,,,,
82745450,8/24/2022 14:12,"It was fear of cancer as it is prevalent in my family. It makes me worried, nervous and stressed just thinking about the future.",,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82745445,8/24/2022 14:12,It was pretty dull and not attention grabbing ar all.,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82745444,8/24/2022 14:11,"I was in Disney world and I felt like I was home and the happiest I have been in a long time, all my worries went away and I felt peaceful and happy",,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745442,8/24/2022 14:11,When I was told my son had died fro covid a part of something inside me died with him. I felt a deep hurting pain inside my heart. It was a loss ai have never felt before. I will remember it til the day I die.,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82745439,8/24/2022 14:11,They was working together and helping each other with the cab an then when playing music,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82745438,8/24/2022 14:11,"I will just not be happy, distressed, sad, disgusted, and everything in between",,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82745430,8/24/2022 14:11,My dad cut off his thumb by a table saw. I was terrified at the sight of blood and normally I would feel nauseous. I had to tie something around the finger to stop the bleeding and had to cut the cloth with my teeth. I got his blood on my face. I didn’t have time to feel the grossness of the situation all I felt was adrenaline and the need to figure out the situation,,"Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82745426,8/24/2022 14:11,Good to hear from the lord and hope you heard anything,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,"Desire (e.g., Wanting, Craving, or Longing)",,
82745415,8/24/2022 14:11,Positive vibes and excitement is what I felt in this specific moment,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82745414,8/24/2022 14:11,It was all great vibes of people playing music I Keating's it,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745410,8/24/2022 14:11,I'm not sure I guess the part where he out the headphones on a dn I finally heard sound.,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82745409,8/24/2022 14:11,Excited that the love of my life had come back into my life.,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745408,8/24/2022 14:11,I have nothing in mind for the question that you are asking for at the moment,"Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)",,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82745407,8/24/2022 14:11,I had my oldest daughter. I was happy excited and cried tears of joy,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,"Desire (e.g., Wanting, Craving, or Longing)",,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745399,8/24/2022 14:11,When I went to a celebration for wedding it was very fun,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745394,8/24/2022 14:11,Happy joy tired but relieved it was after the birth of my child,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
